"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations"
"Riyanto; Agung Pambudi N.; Rudiyanto B.; Sri Wardani N.; Febriyanto R.; Mukti Wibowo K.; Dany Setyawan N.; Basori; Mohammad Zadeh Bina S.","Riyanto (57207764734); Agung Pambudi, Nugroho (37028993700); Rudiyanto, Bayu (56803934500); Sri Wardani, Nyenyep (57210801388); Febriyanto, Rusdi (57207777061); Mukti Wibowo, Kukuh (57209781650); Dany Setyawan, Nova (57208466911); Basori (57193699222); Mohammad Zadeh Bina, Saeid (57195989334)","57207764734; 37028993700; 56803934500; 57210801388; 57207777061; 57209781650; 57208466911; 57193699222; 57195989334","Experimental study of the effect of blade pitch angle on the wind turbine performance at low wind speed condition","2019","International Journal of Smart Grid and Clean Energy","3","10.12720/sgce.8.5.627-632","https://www.scopus.com/pages/publications/85071449121?origin=resultslist","Mechanical Engineering Education Department, Universitas Sebelas Maret, Jl. Ir. Sutami No.36A, Surakarta, 57126, Jawa Tengah, Indonesia; Energy Engineering Laboratory, Department of Renewable Engineering, Politeknik Negeri Jember, Jember, 68121, Indonesia; Graduate School of Engineering and Resource Science, Akita University, Akita, Japan","Riyanto, Mechanical Engineering Education Department, Universitas Sebelas Maret, Jl. Ir. Sutami No.36A, Surakarta, 57126, Jawa Tengah, Indonesia; Agung Pambudi N., Mechanical Engineering Education Department, Universitas Sebelas Maret, Jl. Ir. Sutami No.36A, Surakarta, 57126, Jawa Tengah, Indonesia; Rudiyanto B., Energy Engineering Laboratory, Department of Renewable Engineering, Politeknik Negeri Jember, Jember, 68121, Indonesia; Sri Wardani N., Mechanical Engineering Education Department, Universitas Sebelas Maret, Jl. Ir. Sutami No.36A, Surakarta, 57126, Jawa Tengah, Indonesia; Febriyanto R., Mechanical Engineering Education Department, Universitas Sebelas Maret, Jl. Ir. Sutami No.36A, Surakarta, 57126, Jawa Tengah, Indonesia; Mukti Wibowo K., Mechanical Engineering Education Department, Universitas Sebelas Maret, Jl. Ir. Sutami No.36A, Surakarta, 57126, Jawa Tengah, Indonesia; Dany Setyawan N., Mechanical Engineering Education Department, Universitas Sebelas Maret, Jl. Ir. Sutami No.36A, Surakarta, 57126, Jawa Tengah, Indonesia; Basori, Mechanical Engineering Education Department, Universitas Sebelas Maret, Jl. Ir. Sutami No.36A, Surakarta, 57126, Jawa Tengah, Indonesia; Mohammad Zadeh Bina S., Graduate School of Engineering and Resource Science, Akita University, Akita, Japan"
"Nugraheni Y.R.; Arnuphapprasert A.; Riana E.; Primatika R.A.; Sahara A.; Prastowo J.; Sawitri D.H.; Wardhana A.H.; Widyarsi S.; Kartiko B.P.; Awaludin A.","Nugraheni, Yudhi Ratna (57202464831); Arnuphapprasert, Apinya (57218515740); Riana, Elizabeth (57218509026); Primatika, Roza Azizah (57190940555); Sahara, Ana (56385550900); Prastowo, Joko (56386020900); Sawitri, Dyah Haryuningtyas (57281976600); Wardhana, April Hari (16243031900); Widyarsi, Surya (60537460000); Kartiko, Bayu Priyo (58532844300); Awaludin, Aan (57202426366)","57202464831; 57218515740; 57218509026; 57190940555; 56385550900; 56386020900; 57281976600; 16243031900; 60537460000; 58532844300; 57202426366","Detection of caprine malaria parasite using PCR diagnostic assay targeting cytochrome b oxidase (cytb) gene","2026","Small Ruminant Research","0","10.1016/j.smallrumres.2026.107765","https://www.scopus.com/pages/publications/105034055918?origin=resultslist","Department of Parasitology, Faculty of Veterinary Medicine, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Faculty of Veterinary Science, Rajamangala University of Technology Srivijaya, Nakhon Si Thammarat, 80240, Thailand; Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit (LOMWRU), Microbiology Laboratory, Mahosot Hospital, Vientiane, 0100, Laos; Department of Veterinary Public Health, Faculty of Veterinary Medicine, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Research Center for Veterinary Science, Research Organization for Health, National Research and Innovation Agency, West Java, Cibinong, 16911, Indonesia; Graduate student, Faculty of Veterinary Medicine, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Department of Parasitology, Disease Investigation Center, Wates. Jl. Yogyakarta-Wates Km. 27, Giri Peni, Wates, Kulonprogo, Yogyakarta, 55651, Indonesia; Department of Animal Science, Politeknik Negeri Jember, Jawa Timur, 68121, Indonesia","Nugraheni Y.R., Department of Parasitology, Faculty of Veterinary Medicine, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Arnuphapprasert A., Faculty of Veterinary Science, Rajamangala University of Technology Srivijaya, Nakhon Si Thammarat, 80240, Thailand; Riana E., Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit (LOMWRU), Microbiology Laboratory, Mahosot Hospital, Vientiane, 0100, Laos; Primatika R.A., Department of Veterinary Public Health, Faculty of Veterinary Medicine, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Sahara A., Department of Parasitology, Faculty of Veterinary Medicine, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Prastowo J., Department of Parasitology, Faculty of Veterinary Medicine, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Sawitri D.H., Research Center for Veterinary Science, Research Organization for Health, National Research and Innovation Agency, West Java, Cibinong, 16911, Indonesia; Wardhana A.H., Research Center for Veterinary Science, Research Organization for Health, National Research and Innovation Agency, West Java, Cibinong, 16911, Indonesia; Widyarsi S., Graduate student, Faculty of Veterinary Medicine, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Kartiko B.P., Department of Parasitology, Disease Investigation Center, Wates. Jl. Yogyakarta-Wates Km. 27, Giri Peni, Wates, Kulonprogo, Yogyakarta, 55651, Indonesia; Awaludin A., Department of Animal Science, Politeknik Negeri Jember, Jawa Timur, 68121, Indonesia"
"Wibirama S.; Fikri M.A.; Aliza I.K.; Nugraha K.A.; Alfarozi S.A.I.; Setiawan N.A.; Suhari A.R.; Kusrohmaniah S.","Wibirama, Sunu (26654457700); Fikri, Muhammad Ainul (57211564936); Aliza, Iman Kahfi (60321740800); Nugraha, Kristian Adi (57348376900); Alfarozi, Syukron Abu Ishaq (57191739119); Setiawan, Noor Akhmad (57215833019); Suhari, Ahmad Riznandi (58915670500); Kusrohmaniah, Sri (57203965695)","26654457700; 57211564936; 60321740800; 57348376900; 57191739119; 57215833019; 58915670500; 57203965695","Cognitive load classification during online shopping using deep learning on time series eye movement indices","2026","Array","0","10.1016/j.array.2025.100669","https://www.scopus.com/pages/publications/105027126478?origin=resultslist","Department of Electrical and Information Engineering, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Informatics Engineering Study Program, Jember State Polytechnic, Jember, 68121, Indonesia; Master of Business Administration, Faculty of Economics and Business, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; School of Science and Technology, Tokai University, Tokyo, 108-8619, Japan; Faculty of Psychology, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia","Wibirama S., Department of Electrical and Information Engineering, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Fikri M.A., Informatics Engineering Study Program, Jember State Polytechnic, Jember, 68121, Indonesia; Aliza I.K., Master of Business Administration, Faculty of Economics and Business, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Nugraha K.A., Department of Electrical and Information Engineering, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Alfarozi S.A.I., Department of Electrical and Information Engineering, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Setiawan N.A., Department of Electrical and Information Engineering, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Suhari A.R., Department of Electrical and Information Engineering, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia, School of Science and Technology, Tokai University, Tokyo, 108-8619, Japan; Kusrohmaniah S., Faculty of Psychology, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia"
"Su'udi M.; Cha J.-Y.; Jung M.H.; Ermawati N.; Han C.; Kim M.G.; Woo Y.-M.; Son D.","Su'udi, Mukhamad (24779925000); Cha, Joon-Yung (24333921300); Jung, Min Hee (25121541000); Ermawati, Netty (24779628300); Han, Chang-deok (7403379593); Kim, Min Gab (57207921817); Woo, Young-Min (7102661516); Son, Daeyoung (7101868445)","24779925000; 24333921300; 25121541000; 24779628300; 7403379593; 57207921817; 7102661516; 7101868445","Potential role of the rice OsCCS52A gene in endoreduplication","2012","Planta","32","10.1007/s00425-011-1515-8","https://www.scopus.com/pages/publications/84856230229?origin=resultslist","Division of Applied Life Science (BK21 Program), Plant Molecular Biology and Biotechnology Research Center, Gyeongsang National University, Jinju 660-701, South Korea; National Academy of Agricultural Science, RDA, Suwon 441-707, South Korea; Central Laboratory for Bioscience, State Polytechnic of Jember, Jember 68121, Indonesia; Department of Life Sciences, Pohang University of Science and Technology, Pohang 790-784, South Korea; Department of Applied Biology, Gyeongsang National University, Jinju 660-701, South Korea","Su'udi M., Division of Applied Life Science (BK21 Program), Plant Molecular Biology and Biotechnology Research Center, Gyeongsang National University, Jinju 660-701, South Korea, National Academy of Agricultural Science, RDA, Suwon 441-707, South Korea; Cha J.-Y., Division of Applied Life Science (BK21 Program), Plant Molecular Biology and Biotechnology Research Center, Gyeongsang National University, Jinju 660-701, South Korea; Jung M.H., Division of Applied Life Science (BK21 Program), Plant Molecular Biology and Biotechnology Research Center, Gyeongsang National University, Jinju 660-701, South Korea; Ermawati N., Division of Applied Life Science (BK21 Program), Plant Molecular Biology and Biotechnology Research Center, Gyeongsang National University, Jinju 660-701, South Korea, Central Laboratory for Bioscience, State Polytechnic of Jember, Jember 68121, Indonesia; Han C., Division of Applied Life Science (BK21 Program), Plant Molecular Biology and Biotechnology Research Center, Gyeongsang National University, Jinju 660-701, South Korea; Kim M.G., National Academy of Agricultural Science, RDA, Suwon 441-707, South Korea; Woo Y.-M., Department of Life Sciences, Pohang University of Science and Technology, Pohang 790-784, South Korea; Son D., Division of Applied Life Science (BK21 Program), Plant Molecular Biology and Biotechnology Research Center, Gyeongsang National University, Jinju 660-701, South Korea, Department of Applied Biology, Gyeongsang National University, Jinju 660-701, South Korea"
"Natalia D.; Priyono S.H.; Zarkasi Z.; Wulandari R.; Junaedi R.A.","Natalia, Desi (60237254700); Priyono, Setyo Hari (60641851200); Zarkasi, Zarkasi (59754175500); Wulandari, Riza (58813130000); Junaedi, Rusli Akhmad (60641726600)","60237254700; 60641851200; 59754175500; 58813130000; 60641726600","Assimilation of the Belom Bahadat culture and Islam in Palangka Raya City from the perspective of technology based rational action","2026","Discover Global Society","0","10.1007/s44282-026-00407-5","https://www.scopus.com/pages/publications/105039502518?origin=resultslist","Institut Agama Kristen Negeri Palangka Raya, Palangka Raya, Indonesia; Ritsumeikan University, Osaka, Japan; UIN Walisongo Semarang, Semarang, Indonesia; Institut Teknologi Dan Bisnis STIKOM Bali, Bali, Indonesia; Politeknik Negeri Jember, Jember, Indonesia","Natalia D., Institut Agama Kristen Negeri Palangka Raya, Palangka Raya, Indonesia; Priyono S.H., Ritsumeikan University, Osaka, Japan; Zarkasi Z., UIN Walisongo Semarang, Semarang, Indonesia; Wulandari R., Institut Teknologi Dan Bisnis STIKOM Bali, Bali, Indonesia; Junaedi R.A., Politeknik Negeri Jember, Jember, Indonesia"
"Hilaili M.; Fathi-Najafabadi A.; Nurwahyuningsih; Castillejo N.; Russo L.; Kondo N.; Fatchurrahman D.","Hilaili, Maulidia (59225805000); Fathi-Najafabadi, Ayoub (57215683926); Nurwahyuningsih (59145773600); Castillejo, Noelia (56912458000); Russo, Lucia (59225971500); Kondo, Naoshi (60169002200); Fatchurrahman, Danial (57188703719)","59225805000; 57215683926; 59145773600; 56912458000; 59225971500; 60169002200; 57188703719","Optical and Chemical Profiling of Japanese Strawberries: Fluorescence Fingerprints, Imaging Features, and Quality Attributes Prediction","2025","Horticulturae","2","10.3390/horticulturae11111291","https://www.scopus.com/pages/publications/105023080068?origin=resultslist","Laboratory of Bio-Sensing Engineering, Graduate School of Agriculture, Kyoto University, Kyoto, 606-8502, Japan; Dipartimento di Scienze Agrarie, Alimenti, Risorse Naturali e Ingegneria (DAFNE), Università di Foggia, Via Napoli 25, Foggia, 71122, Italy; Department of Agricultural and Environmental Engineering, United Graduate School of Agricultural Science, Tokyo University of Agricultural and Technology, Tokyo, 183-0057, Japan; Department of Agricultural Technology, Politeknik Negeri Jember, Jember, 68121, Indonesia; Postharvest and Refrigeration Group, Department of Agricultural Engineering, Institute of Plant Biotechnology, Universidad Politécnica de Cartagena, Cartagena, 30203, Spain","Hilaili M., Laboratory of Bio-Sensing Engineering, Graduate School of Agriculture, Kyoto University, Kyoto, 606-8502, Japan; Fathi-Najafabadi A., Dipartimento di Scienze Agrarie, Alimenti, Risorse Naturali e Ingegneria (DAFNE), Università di Foggia, Via Napoli 25, Foggia, 71122, Italy; Nurwahyuningsih, Department of Agricultural and Environmental Engineering, United Graduate School of Agricultural Science, Tokyo University of Agricultural and Technology, Tokyo, 183-0057, Japan, Department of Agricultural Technology, Politeknik Negeri Jember, Jember, 68121, Indonesia; Castillejo N., Postharvest and Refrigeration Group, Department of Agricultural Engineering, Institute of Plant Biotechnology, Universidad Politécnica de Cartagena, Cartagena, 30203, Spain; Russo L., Dipartimento di Scienze Agrarie, Alimenti, Risorse Naturali e Ingegneria (DAFNE), Università di Foggia, Via Napoli 25, Foggia, 71122, Italy; Kondo N., Laboratory of Bio-Sensing Engineering, Graduate School of Agriculture, Kyoto University, Kyoto, 606-8502, Japan; Fatchurrahman D., Dipartimento di Scienze Agrarie, Alimenti, Risorse Naturali e Ingegneria (DAFNE), Università di Foggia, Via Napoli 25, Foggia, 71122, Italy"
"Hilaili M.; Castillejo N.; Russo L.; Fathi-Najafabadi A.; Nurwahyuningsih; Al Riza D.F.; Fatchurrahman D.","Hilaili, Maulidia (59225805000); Castillejo, Noelia (56912458000); Russo, Lucia (59225971500); Fathi-Najafabadi, Ayoub (57215683926); Nurwahyuningsih (59145773600); Al Riza, Dimas Firmanda (56088369100); Fatchurrahman, Danial (57188703719)","59225805000; 56912458000; 59225971500; 57215683926; 59145773600; 56088369100; 57188703719","Fluorescence imaging as a potential sensor in the milling machine on different varieties of Sorghum (Sorghum bicolor L.)","2026","Innovative Food Science and Emerging Technologies","1","10.1016/j.ifset.2025.104378","https://www.scopus.com/pages/publications/105022663153?origin=resultslist","Laboratory of Bio-Sensing Engineering, of Agriculture, Kyoto University, Kyoto, 606-8502, Japan; Postharvest and Refrigeration Group, Department of Agricultural Engineering & Institute of Plant Biotechnology, Universidad Politécnica de Cartagena, Murcia, Cartagena, 30203, Spain; Dipartimento di Scienze Agrarie, Alimenti, Risorse Naturali e Ingegneria (DAFNE), Università di Foggia, Italy; Department of Agricultural Technology, Politeknik Negeri Jember, Jember, 68121, Indonesia; Department of Biosystems Engineering, Faculty of Agricultural Technology, University of Brawijaya, Jl. Veteran, Malang, 65145, Indonesia; Department of Agricultural and Environmental Engineering, United Graduate School of Agricultural Science, Tokyo University of Agricultural and Technology, Japan","Hilaili M., Laboratory of Bio-Sensing Engineering, of Agriculture, Kyoto University, Kyoto, 606-8502, Japan; Castillejo N., Postharvest and Refrigeration Group, Department of Agricultural Engineering & Institute of Plant Biotechnology, Universidad Politécnica de Cartagena, Murcia, Cartagena, 30203, Spain; Russo L., Dipartimento di Scienze Agrarie, Alimenti, Risorse Naturali e Ingegneria (DAFNE), Università di Foggia, Italy; Fathi-Najafabadi A., Dipartimento di Scienze Agrarie, Alimenti, Risorse Naturali e Ingegneria (DAFNE), Università di Foggia, Italy; Nurwahyuningsih, Department of Agricultural Technology, Politeknik Negeri Jember, Jember, 68121, Indonesia, Department of Agricultural and Environmental Engineering, United Graduate School of Agricultural Science, Tokyo University of Agricultural and Technology, Japan; Al Riza D.F., Department of Biosystems Engineering, Faculty of Agricultural Technology, University of Brawijaya, Jl. Veteran, Malang, 65145, Indonesia; Fatchurrahman D., Dipartimento di Scienze Agrarie, Alimenti, Risorse Naturali e Ingegneria (DAFNE), Università di Foggia, Italy, Department of Biosystems Engineering, Faculty of Agricultural Technology, University of Brawijaya, Jl. Veteran, Malang, 65145, Indonesia"
"Javed F.; Shahbaz H.M.; Nawaz A.; Olaimat A.N.; Stratakos A.C.; Wahyono A.; Munir S.; Mueen-ud-din G.; Ali Z.; Park J.","Javed, Farah (57220178166); Shahbaz, Hafiz Muhammad (55556759900); Nawaz, Asad (57201115882); Olaimat, Amin N. (24177837000); Stratakos, Alexandros Ch. (25628808400); Wahyono, Agung (56612073600); Munir, Sadia (57217717605); Mueen-ud-din, Ghulam (26639542000); Ali, Zeshan (57224768743); Park, Jiyong (55716975100)","57220178166; 55556759900; 57201115882; 24177837000; 25628808400; 56612073600; 57217717605; 26639542000; 57224768743; 55716975100","Formation of furan in baby food products: Identification and technical challenges","2021","Comprehensive Reviews in Food Science and Food Safety","31","10.1111/1541-4337.12732","https://www.scopus.com/pages/publications/85102612596?origin=resultslist","Department of Food Science and Human Nutrition, University of Veterinary and Animal Sciences, Lahore, Pakistan; Joint International Research Laboratory of Agriculture and Agri-Product Safety, College of Agriculture, Yangzhou University, Yangzhou, China; Department of Clinical Nutrition and Dietetics, Faculty of Applied Medical Sciences, The Hashemite University, Zarqa, Jordan; Department of Applied Sciences, Faculty of Health and Life Sciences, University of the West of England, Bristol, United Kingdom; Department of Food Engineering Technology, State Polytechnic of Jember, Jember, Indonesia; College of Food Science and Technology, Huazhong Agricultural University, Wuhan, China; Institute of Food Science and Nutrition, University of Sargodha, Sargodha, Pakistan; Department of Food Engineering and Nutritional Science, Shaanxi Normal University, Xian, China; Department of Biotechnology, Yonsei University, Seoul, South Korea","Javed F., Department of Food Science and Human Nutrition, University of Veterinary and Animal Sciences, Lahore, Pakistan; Shahbaz H.M., Department of Food Science and Human Nutrition, University of Veterinary and Animal Sciences, Lahore, Pakistan; Nawaz A., Joint International Research Laboratory of Agriculture and Agri-Product Safety, College of Agriculture, Yangzhou University, Yangzhou, China; Olaimat A.N., Department of Clinical Nutrition and Dietetics, Faculty of Applied Medical Sciences, The Hashemite University, Zarqa, Jordan; Stratakos A.C., Department of Applied Sciences, Faculty of Health and Life Sciences, University of the West of England, Bristol, United Kingdom; Wahyono A., Department of Food Engineering Technology, State Polytechnic of Jember, Jember, Indonesia; Munir S., College of Food Science and Technology, Huazhong Agricultural University, Wuhan, China; Mueen-ud-din G., Institute of Food Science and Nutrition, University of Sargodha, Sargodha, Pakistan; Ali Z., Department of Food Engineering and Nutritional Science, Shaanxi Normal University, Xian, China; Park J., Department of Biotechnology, Yonsei University, Seoul, South Korea"
"Pebrianto W.; Basori A.H.; Riskiawan H.Y.; Mansur A.B.F.; Rizaldi T.; Alghanmi N.A.; Subahi A.; Putranto H.A.; Alkhudhayr H.; Mashat A.; Yogiswara Y.","Pebrianto, Wahyu (57941528200); Basori, Ahmad Hoirul (24765987500); Riskiawan, Hendra Yufit (57194067448); Mansur, Andi Besse Firdausiah (57192090879); Rizaldi, Taufiq (57201199942); Alghanmi, Nouf Atiahallah (58837344900); Subahi, Alanoud (57204901174); Putranto, Hermawan Arief (57213518819); Alkhudhayr, Hanadi (57200440129); Mashat, Arwa (57211476380); Yogiswara, Yogiswara (58235421700)","57941528200; 24765987500; 57194067448; 57192090879; 57201199942; 58837344900; 57204901174; 57213518819; 57200440129; 57211476380; 58235421700","Efficient batch size detection of apple fruit in a plantation environment","2024","International Journal of Advanced and Applied Sciences","0","10.21833/ijaas.2024.09.017","https://www.scopus.com/pages/publications/85207393302?origin=resultslist","Information Technology Department, Politeknik Negeri Jember, Jember, Indonesia; Faculty of Computing and Information Technology in Rabigh, King Abdulaziz University, Rabigh, 21911, Saudi Arabia","Pebrianto W., Information Technology Department, Politeknik Negeri Jember, Jember, Indonesia; Basori A.H., Faculty of Computing and Information Technology in Rabigh, King Abdulaziz University, Rabigh, 21911, Saudi Arabia; Riskiawan H.Y., Information Technology Department, Politeknik Negeri Jember, Jember, Indonesia; Mansur A.B.F., Faculty of Computing and Information Technology in Rabigh, King Abdulaziz University, Rabigh, 21911, Saudi Arabia; Rizaldi T., Information Technology Department, Politeknik Negeri Jember, Jember, Indonesia; Alghanmi N.A., Faculty of Computing and Information Technology in Rabigh, King Abdulaziz University, Rabigh, 21911, Saudi Arabia; Subahi A., Faculty of Computing and Information Technology in Rabigh, King Abdulaziz University, Rabigh, 21911, Saudi Arabia; Putranto H.A., Information Technology Department, Politeknik Negeri Jember, Jember, Indonesia; Alkhudhayr H., Faculty of Computing and Information Technology in Rabigh, King Abdulaziz University, Rabigh, 21911, Saudi Arabia; Mashat A., Faculty of Computing and Information Technology in Rabigh, King Abdulaziz University, Rabigh, 21911, Saudi Arabia; Yogiswara Y., Information Technology Department, Politeknik Negeri Jember, Jember, Indonesia"
"Nurmansyah M.I.; Umniyatun Y.; Jannah M.; Syiroj A.T.R.; Purnama T.B.; Koire I.I.","Nurmansyah, Mochamad Iqbal (57208107769); Umniyatun, Yuyun (57208106014); Jannah, Miftahul (57212533927); Syiroj, Agung Taufiqur Rokhman (57208108258); Purnama, Tri Bayu (57212242872); Koire, Ibrahim Isa (57218704966)","57208107769; 57208106014; 57212533927; 57208108258; 57212242872; 57218704966","Peer, family and teachers’ role on smoking behaviour among Islamic high school students in Depok, Indonesia","2021","Vulnerable Children and Youth Studies","3","10.1080/17450128.2020.1861398","https://www.scopus.com/pages/publications/85097891519?origin=resultslist","Faculty of Health Science, Universitas Islam Negeri Syarif Hidayatullah Jakarta, Jakarta, Indonesia; Faculty of Health Sciences, Universitas Muhammadiyah Prof. Dr. Hamka, Jakarta, Indonesia; Clinical Nutrition Department, Politeknik Negeri Jember, Jember, Indonesia; Department of Advocacy and Communications, National Population and Family Planning Board (BKKBN), Surabaya, Indonesia; Faculty of Public Health, Universitas Islam Negeri Sumatera Utara, Medan, Indonesia; Institute of Sciences, Istanbul University, Istanbul, Turkey","Nurmansyah M.I., Faculty of Health Science, Universitas Islam Negeri Syarif Hidayatullah Jakarta, Jakarta, Indonesia; Umniyatun Y., Faculty of Health Sciences, Universitas Muhammadiyah Prof. Dr. Hamka, Jakarta, Indonesia; Jannah M., Clinical Nutrition Department, Politeknik Negeri Jember, Jember, Indonesia; Syiroj A.T.R., Department of Advocacy and Communications, National Population and Family Planning Board (BKKBN), Surabaya, Indonesia; Purnama T.B., Faculty of Public Health, Universitas Islam Negeri Sumatera Utara, Medan, Indonesia; Koire I.I., Institute of Sciences, Istanbul University, Istanbul, Turkey"
