"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations"
"Ardiyanto S.Y.; Gusliana H.B.; Nurkadri; Novita; Bahriyanto A.; Setyawan H.; Putro B.N.; Harmanto; Darmawan A.; Tafuri F.; Latino F.","Ardiyanto, Syaifullah Yophi (57207819958); Gusliana, H.B. (58932106700); Nurkadri (57212312660); Novita (60617708400); Bahriyanto, Ahmad (59312000800); Setyawan, Hendra (58671015400); Putro, Baskoro Nugroho (59971659800); Harmanto (57201196847); Darmawan, Arief (59936720500); Tafuri, Francesco (58220934100); Latino, Francesca (57211438855)","57207819958; 58932106700; 57212312660; 60617708400; 59312000800; 58671015400; 59971659800; 57201196847; 59936720500; 58220934100; 57211438855","Article RETRACTED due to manipulation by the authors and citations Legal and social perspectives on the phenomena of supporter violence in sport; [Article RETRACTED due to manipulation by the authors and citations Perspectivas jurídicas y sociales del fenómeno de la violencia de los hinchas en el deporte]","2024","Retos","12","10.47197/retos.v60.108804","https://www.scopus.com/pages/publications/85202994834?origin=resultslist","Universitas Riau, Indonesia; Universitas Negeri Medan, Indonesia; Universitas Muhammadiyah Jember, Indonesia; Universitas Negeri Yogyakarta, Indonesia; Universitas Sebelas Maret, Indonesia; Universitas Negeri Surabaya, Indonesia; Universitas Negeri Malang, Indonesia; Niccolò Cusano University, Italy; Pegaso University, Italy","Ardiyanto S.Y., Universitas Riau, Indonesia; Gusliana H.B., Universitas Riau, Indonesia; Nurkadri, Universitas Negeri Medan, Indonesia; Novita, Universitas Negeri Medan, Indonesia; Bahriyanto A., Universitas Muhammadiyah Jember, Indonesia; Setyawan H., Universitas Negeri Yogyakarta, Indonesia; Putro B.N., Universitas Sebelas Maret, Indonesia; Harmanto, Universitas Negeri Surabaya, Indonesia; Darmawan A., Universitas Negeri Malang, Indonesia; Tafuri F., Niccolò Cusano University, Italy; Latino F., Pegaso University, Italy"
"Gusliana H.B.; Ardiyanto S.Y.; Nurkadri; Novita; Widiyanto W.E.; Setyawan H.; Putro B.N.; Harmanto; Darmawan A.; Radulovic N.","Gusliana, H.B. (58932106700); Ardiyanto, Syaifullah Yophi (57207819958); Nurkadri (57212312660); Novita (60617708400); Widiyanto, Wahyu Eko (59307956100); Setyawan, Hendra (58671015400); Putro, Baskoro Nugroho (59971659800); Harmanto (57201196847); Darmawan, Arief (59936720500); Radulovic, Nikola (57062264800)","58932106700; 57207819958; 57212312660; 60617708400; 59307956100; 58671015400; 59971659800; 57201196847; 59936720500; 57062264800","Article RETRACTED due to manipulation by the authors and citations Ensuring fairness and transparency in sports through compliance to legal principles and ethical standards; [Article RETRACTED due to manipulation by the authors and citations Garantizar la equidad y la transparencia en el deporte mediante el respeto de los principios jurídicos y las normas éticas]","2024","Retos","11","10.47197/retos.v60.108935","https://www.scopus.com/pages/publications/85202774775?origin=resultslist","Universitas Riau, Indonesia; Universitas Negeri Medan, Indonesia; Universitas Muhammadiyah Jember, Indonesia; Universitas Negeri Yogyakarta, Indonesia; Universitas Sebelas Maret, Indonesia; Universitas Negeri Surabaya, Indonesia; Universitas Negeri Malang, Indonesia; University of Novi Sad, Serbia","Gusliana H.B., Universitas Riau, Indonesia; Ardiyanto S.Y., Universitas Riau, Indonesia; Nurkadri, Universitas Negeri Medan, Indonesia; Novita, Universitas Negeri Medan, Indonesia; Widiyanto W.E., Universitas Muhammadiyah Jember, Indonesia; Setyawan H., Universitas Negeri Yogyakarta, Indonesia; Putro B.N., Universitas Sebelas Maret, Indonesia; Harmanto, Universitas Negeri Surabaya, Indonesia; Darmawan A., Universitas Negeri Malang, Indonesia; Radulovic N., University of Novi Sad, Serbia"
"Ibrahim; Manik S.; Gultom S.R.; Nurkadri; Widiyanto W.E.; Hamsyah K.; Ardiyanto S.Y.; Pavlovic R.","Ibrahim (57224961266); Manik, Syahputra (57222611212); Gultom, Siti Rahima (59727667400); Nurkadri (57212312660); Widiyanto, Wahyu Eko (59307956100); Hamsyah, Khairul (59152369400); Ardiyanto, Syaifullah Yophi (57207819958); Pavlovic, Ratko (55601723700)","57224961266; 57222611212; 59727667400; 57212312660; 59307956100; 59152369400; 57207819958; 55601723700","Development of a Sports Training Program Planning Information System (SIPRENPOL)","2025","Sport TK","1","10.6018/sportk.656171","https://www.scopus.com/pages/publications/105002173729?origin=resultslist","Faculty of Sports Science, Universitas Negeri Medan, Indonesia; Faculty of Teacher Training and Education, Universitas Muhammadiyah Jember, Indonesia; Faculty of Sport and Health Sciences, Universitas Negeri Yogyakarta, Indonesia; Universitas Riau, Indonesia; University of East Sarajevo, Bosnia and Herzegovina","Ibrahim, Faculty of Sports Science, Universitas Negeri Medan, Indonesia; Manik S., Faculty of Sports Science, Universitas Negeri Medan, Indonesia; Gultom S.R., Faculty of Sports Science, Universitas Negeri Medan, Indonesia; Nurkadri, Faculty of Sports Science, Universitas Negeri Medan, Indonesia; Widiyanto W.E., Faculty of Teacher Training and Education, Universitas Muhammadiyah Jember, Indonesia; Hamsyah K., Faculty of Sport and Health Sciences, Universitas Negeri Yogyakarta, Indonesia; Ardiyanto S.Y., Universitas Riau, Indonesia; Pavlovic R., University of East Sarajevo, Bosnia and Herzegovina"
"Daryanto; Windiarti I.S.; Rintyarna B.S.","Daryanto (59744182400); Windiarti, Ika Safitri (54947306100); Rintyarna, Bagus Setya (57191611739)","59744182400; 54947306100; 57191611739","Social Implications of Technological Advancements in Sentiment Analysis: A Literature Review on Potential and Consequences over the Next 20 Years †","2025","Engineering Proceedings","2","10.3390/engproc2025084049","https://www.scopus.com/pages/publications/105009271853?origin=resultslist","Department of Information Technology, Universiti Muhammadiyah Malaysia (UMAM), Perlis, Padang Besar, 021011, Malaysia; Department of Informatics, Universitas Muhammadiyah Jember, Jawa Timur, Jember, 68121, Indonesia; Departement of Computer Science, Universitas Muhammadiyah Palangkaraya (UMPR), Kalimantan Tengah, Palangkaraya, 73111, Indonesia; Department of Electrical Engineering, Universitas Muhammadiyah Jember, Jawa Timur, Jember, 68121, Indonesia","Daryanto, Department of Information Technology, Universiti Muhammadiyah Malaysia (UMAM), Perlis, Padang Besar, 021011, Malaysia, Department of Informatics, Universitas Muhammadiyah Jember, Jawa Timur, Jember, 68121, Indonesia; Windiarti I.S., Department of Information Technology, Universiti Muhammadiyah Malaysia (UMAM), Perlis, Padang Besar, 021011, Malaysia, Departement of Computer Science, Universitas Muhammadiyah Palangkaraya (UMPR), Kalimantan Tengah, Palangkaraya, 73111, Indonesia; Rintyarna B.S., Department of Electrical Engineering, Universitas Muhammadiyah Jember, Jawa Timur, Jember, 68121, Indonesia"
"Ariyanto Y.; Widiyaningtyas T.; Saifudin I.; Suharso W.; Caesarendra W.; Leviona A.S.","Ariyanto, Yuri (57193872299); Widiyaningtyas, Triyanna (57193645741); Saifudin, Ilham (57444984300); Suharso, Wiwik (57448917600); Caesarendra, Wahyu (33067448100); Leviona, Adinda Salsa (60382260300)","57193872299; 57193645741; 57444984300; 57448917600; 33067448100; 60382260300","Demographic-Enhanced Collaborative Filtering: Improving Accuracy and Diversity in MovieLens-Based Recommender Systems","2025","2025 9th International Conference on Electrical, Electronics and Information Engineering, ICEEIE 2025","0","10.1109/ICEEIE66203.2025.11251921","https://www.scopus.com/pages/publications/105029906127?origin=resultslist","Universitas Negeri Malang, Department of Electrical Engineering and Informatics, Malang, Indonesia; Politeknik Negeri Malang, Department of Information Technology, Malang, Indonesia; Universitas Muhammadiyah Jember, Informatics Engineering, Jember, Indonesia; Curtin University Malaysia, Faculty of Engineering and Science, Department of Mechanical and Mechatronics Engineering, Lot 13149, Block 5, Kuala Baram Land District, CDT 250,Sarawak, Miri, 98009, Malaysia","Ariyanto Y., Universitas Negeri Malang, Department of Electrical Engineering and Informatics, Malang, Indonesia, Politeknik Negeri Malang, Department of Information Technology, Malang, Indonesia; Widiyaningtyas T., Universitas Negeri Malang, Department of Electrical Engineering and Informatics, Malang, Indonesia; Saifudin I., Universitas Negeri Malang, Department of Electrical Engineering and Informatics, Malang, Indonesia, Universitas Muhammadiyah Jember, Informatics Engineering, Jember, Indonesia; Suharso W., Universitas Negeri Malang, Department of Electrical Engineering and Informatics, Malang, Indonesia, Universitas Muhammadiyah Jember, Informatics Engineering, Jember, Indonesia; Caesarendra W., Curtin University Malaysia, Faculty of Engineering and Science, Department of Mechanical and Mechatronics Engineering, Lot 13149, Block 5, Kuala Baram Land District, CDT 250,Sarawak, Miri, 98009, Malaysia; Leviona A.S., Universitas Negeri Malang, Department of Electrical Engineering and Informatics, Malang, Indonesia"
"Oktavianto H.; Windiarti I.S.; Rintyarna B.S.","Oktavianto, Hardian (59748261000); Windiarti, Ika Safitri (54947306100); Rintyarna, Bagus Setya (57191611739)","59748261000; 54947306100; 57191611739","TOWARD ETHICAL AND INTELLIGENT SENTIMENT ANALYSIS IN TOURISM: FUTURE DIRECTIONS FOR THE NEXT TWO DECADES","2026","Journal of Engineering and Technology for Industrial Applications","0","10.5935/jetia.v12i57.3048","https://www.scopus.com/pages/publications/105031560923?origin=resultslist","Universitas Muhammadiyah Jember, Indonesia; Universiti Muhammadiyah Malaysia, Malaysia","Oktavianto H., Universitas Muhammadiyah Jember, Indonesia; Windiarti I.S., Universiti Muhammadiyah Malaysia, Malaysia; Rintyarna B.S., Universitas Muhammadiyah Jember, Indonesia"
"Suyatna; Suryono A.; Amri U.; Argadinata R.L.; Abigail A.D.","Suyatna (58509790600); Suryono, Ahmad (58509058800); Amri, Ulil (57218466666); Argadinata, Rifky Leo (58508559500); Abigail, Amara Diva (58510037800)","58509790600; 58509058800; 57218466666; 58508559500; 58510037800","Implications of Utilizing Protected Forest Areas for Geothermal Business: A Legal Analysis","2023","Jurnal Hukum Novelty","1","10.26555/novelty.v14i1.a24765","https://www.scopus.com/pages/publications/85165961051?origin=resultslist","Universitas Muhammadiyah Jember, Indonesia; Gonzaga University, United States","Suyatna, Universitas Muhammadiyah Jember, Indonesia; Suryono A., Universitas Muhammadiyah Jember, Indonesia; Amri U., Gonzaga University, United States; Argadinata R.L., Universitas Muhammadiyah Jember, Indonesia; Abigail A.D., Universitas Muhammadiyah Jember, Indonesia"
"Syahri I.M.; Laksono A.D.; Fitria M.; Rohmah N.; Lolong D.B.; Alruwaili A.S.","Syahri, Isyatun Mardhiyah (57221289506); Laksono, Agung Dwi (56429657100); Fitria, Maya (59732308300); Rohmah, Nikmatur (57218144057); Lolong, Dina Bisara (36802094400); Alruwaili, Abdulah Saleh (57205745291)","57221289506; 56429657100; 59732308300; 57218144057; 36802094400; 57205745291","DETERMINE THE POLICY TARGET TO INCREASE INSTITUTIONAL DELIVERY AMONG INDONESIAN FEMALE WORKERS; [Menentukan Target Kebijakan Persalinan Institusi pada Pekerja Perempuan Indonesia]","2024","Indonesian Journal of Health Administration","0","10.20473/jaki.v12i2.2024.228-237","https://www.scopus.com/pages/publications/85213387559?origin=resultslist","Faculty of Public Health, Universitas Sumatera Utara, Medan, Indonesia; National Research and Innovation Agency Republic of Indonesia, Jakarta, Indonesia; Faculty of Health Science, Muhammadiyah University of Jember, Jember, Indonesia; School of Health, University of New England, Armidale, NSW, Australia","Syahri I.M., Faculty of Public Health, Universitas Sumatera Utara, Medan, Indonesia; Laksono A.D., National Research and Innovation Agency Republic of Indonesia, Jakarta, Indonesia; Fitria M., Faculty of Public Health, Universitas Sumatera Utara, Medan, Indonesia; Rohmah N., Faculty of Health Science, Muhammadiyah University of Jember, Jember, Indonesia; Lolong D.B., National Research and Innovation Agency Republic of Indonesia, Jakarta, Indonesia; Alruwaili A.S., School of Health, University of New England, Armidale, NSW, Australia"
"Umilasari R.; Susilowati L.; Slamin; Osaye A.J.; Saifudin I.","Umilasari, Reni (57217151145); Susilowati, Liliek (35318618500); Slamin (57202201001); Osaye, AFadekemi Janet (59380337900); Saifudin, Ilham (57444984300)","57217151145; 35318618500; 57202201001; 59380337900; 57444984300","Some Properties of Dominant Local Metric Dimension","2024","Statistics, Optimization and Information Computing","1","10.19139/soic-2310-5070-2062","https://www.scopus.com/pages/publications/85207253436?origin=resultslist","Department of Informatics Engineering, Universitas Muhammadiyah Jember, Indonesia; Department of Mathematics, Universitas Airlangga, Indonesia; Study Program of Informatics, Universitas Jember, Indonesia; Department of Mathematics and Computer Science, Alabama State University, United States","Umilasari R., Department of Informatics Engineering, Universitas Muhammadiyah Jember, Indonesia; Susilowati L., Department of Mathematics, Universitas Airlangga, Indonesia; Slamin, Study Program of Informatics, Universitas Jember, Indonesia; Osaye A.J., Department of Mathematics and Computer Science, Alabama State University, United States; Saifudin I., Department of Informatics Engineering, Universitas Muhammadiyah Jember, Indonesia"
"Wiyono A.; Mohd Zulkifli N.W.; Wan Daud W.M.A.; Sukrawan Y.; Anggrainy R.; Syafrinaldy A.; Nolandy H.; Abidin A.; Sukarno R.; Aziz M.","Wiyono, Apri (57200074311); Mohd Zulkifli, Nurin Wahidah (59454812500); Wan Daud, Wan Mohd Ashri (57218540882); Sukrawan, Yusep (57205020817); Anggrainy, Rani (57226100478); Syafrinaldy, Ade (57571852800); Nolandy, Henry (58351395800); Abidin, Asroful (57214712994); Sukarno, Ragil (57215381581); Aziz, Muhammad (56436934500)","57200074311; 59454812500; 57218540882; 57205020817; 57226100478; 57571852800; 58351395800; 57214712994; 57215381581; 56436934500","Review on Synthesis Methods of Carbon Nanotubes as Activated Carbon Composites Based on Biomass for Supercapacitors in Electric Vehicles","2025","Energy Technology","9","10.1002/ente.202401228","https://www.scopus.com/pages/publications/85203057616?origin=resultslist","Department of Automotive Engineering Education, Faculty of Technology and Vocational Education, Universitas Pendidikan Indonesia, Setiabudi No. 229, Bandung, 40154, Indonesia; Department of Mechanical Engineering, Faculty of Engineering, Centre for Energy Sciences, University of Malaya, Kuala Lumpur, 50603, Malaysia; Department of Chemical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia; Department of Mechanical Engineering, Faculty of Engineering, Universitas Negeri Jakarta, Rawamangun Muka, Jakarta, 13220, Indonesia; Research Center for Energy Conversion and Conservation, National Research and Innovation Agency of Republic Indonesia, Puspiptek Serpong, Tangerang Selatan, 15414, Indonesia; Department of Mechanical Engineering, Faculty of Engineering, Universitas Muhammadiyah Jember, Jember Regency, East Java, 68124, Indonesia; Institute of Industrial Science, The University of Tokyo, 4-6-1 Komaba, Meguro-ku, Tokyo, 153-8505, Japan","Wiyono A., Department of Automotive Engineering Education, Faculty of Technology and Vocational Education, Universitas Pendidikan Indonesia, Setiabudi No. 229, Bandung, 40154, Indonesia; Mohd Zulkifli N.W., Department of Mechanical Engineering, Faculty of Engineering, Centre for Energy Sciences, University of Malaya, Kuala Lumpur, 50603, Malaysia; Wan Daud W.M.A., Department of Chemical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia; Sukrawan Y., Department of Automotive Engineering Education, Faculty of Technology and Vocational Education, Universitas Pendidikan Indonesia, Setiabudi No. 229, Bandung, 40154, Indonesia; Anggrainy R., Department of Mechanical Engineering, Faculty of Engineering, Universitas Negeri Jakarta, Rawamangun Muka, Jakarta, 13220, Indonesia; Syafrinaldy A., Research Center for Energy Conversion and Conservation, National Research and Innovation Agency of Republic Indonesia, Puspiptek Serpong, Tangerang Selatan, 15414, Indonesia; Nolandy H., Research Center for Energy Conversion and Conservation, National Research and Innovation Agency of Republic Indonesia, Puspiptek Serpong, Tangerang Selatan, 15414, Indonesia; Abidin A., Department of Mechanical Engineering, Faculty of Engineering, Universitas Muhammadiyah Jember, Jember Regency, East Java, 68124, Indonesia; Sukarno R., Department of Mechanical Engineering, Faculty of Engineering, Universitas Negeri Jakarta, Rawamangun Muka, Jakarta, 13220, Indonesia; Aziz M., Institute of Industrial Science, The University of Tokyo, 4-6-1 Komaba, Meguro-ku, Tokyo, 153-8505, Japan"
