Program Studi,Jumlah Mahasiswa,Jumlah Mahasiswa Asing,Jumlah Dosen,Jumlah Dosen Asing,Jumlah Dosen S3,Jumlah Inbound,Jumlah Outbound,Jumlah Artikel di Jurnal Terindeks Scopus,Jumlah Sitasi Per Prodi,Jumlah Artikel yang Melibatkan Kolaborator Internasional,Jumlah Negara Kolaborator,Jumlah Institusi Unik
UNEJ - Pendidikan Dokter,690.0,0.0,51,0.0,10,1,0,165,978,8,4,8
UNEJ - Ilmu Hukum,2283.0,0.0,63,0.0,12,7,1,45,72,13,8,21
UNEJ - Ilmu Hukum (S2),280.0,0.0,5,0.0,5,0,0,30,55,0,0,0
UNEJ - Kenotariatan (S2),239.0,0.0,5,0.0,5,0,0,35,79,3,1,2
UNEJ - Pendidikan Dokter Gigi,707.0,0.0,30,0.0,14,1,0,168,812,27,12,25
UNEJ - Rekayasa Perencanaan Mekanik (D4),126.0,0.0,11,0.0,1,0,0,54,162,1,1,1
UNEJ - Teknologi Rekayasa Elektronika (D4),119.0,0.0,8,0.0,2,0,0,55,130,1,1,0
UNEJ - Teknik Rekayasa Konstruksi Bangunan Gedung (D4),172.0,0.0,9,0.0,1,0,0,21,45,0,0,1
UNEJ - Teknik Elektro,557.0,0.0,21,0.0,2,1,0,120,408,15,5,19
UNEJ - Teknik Mesin,512.0,0.0,20,0.0,5,1,0,141,4294,38,14,82
UNEJ - Teknik Sipil,690.0,0.0,22,0.0,0,0,0,56,178,7,3,11
UNEJ - Perencanaan Wilayah dan Kota,324.0,0.0,14,0.0,1,0,0,26,59,1,1,1
UNEJ - Teknik Kimia,273.0,0.0,13,0.0,2,0,0,98,1829,15,8,23
UNEJ - Teknik Konstruksi Perkapalan,253.0,0.0,6,0.0,0,0,0,19,60,0,0,0
UNEJ - Teknik Lingkungan,271.0,0.0,10,0.0,2,0,0,27,348,2,1,3
UNEJ - Teknik Perminyakan,227.0,0.0,10,0.0,0,0,0,3,0,0,0,0
UNEJ - Teknik Pertambangan,247.0,0.0,9,0.0,0,0,0,20,120,0,0,0
UNEJ - Teknik Sipil (S2),59.0,1.0,5,0.0,5,0,0,84,681,18,2,5
UNEJ - Teknik Elektro (S2),27.0,0.0,6,0.0,6,0,0,165,1660,26,4,12
UNEJ - Teknik Mesin (S2),23.0,0.0,5,0.0,5,0,0,78,314,9,3,11
UNEJ - Pendidikan Luar Sekolah,445.0,0.0,13,0.0,4,0,0,20,73,1,1,1
UNEJ - Pendidikan Guru Anak Usia Dini,710.0,0.0,18,0.0,0,0,0,6,12,0,0,0
UNEJ - Pendidikan Bahasa dan Sastra Indonesia,702.0,0.0,17,0.0,5,0,0,20,29,2,2,2
UNEJ - Pendidikan Bahasa Inggris,786.0,0.0,17,0.0,3,0,0,29,217,2,2,2
UNEJ - Pendidikan Biologi,575.0,0.0,19,0.0,2,0,0,102,410,7,7,10
UNEJ - Pendidikan IPA,577.0,0.0,21,0.0,3,0,0,130,726,4,2,7
UNEJ - Pendidikan Fisika,508.0,0.0,17,0.0,2,0,0,97,459,6,2,4
UNEJ - Pendidikan Ekonomi,773.0,0.0,19,0.0,2,0,0,72,138,0,0,0
UNEJ - Pendidikan Matematika,811.0,0.0,17,0.0,0,0,1,203,1397,6,3,5
UNEJ - Pendidikan Guru Sekolah Dasar,1282.0,0.0,29,0.0,1,0,1,41,55,0,0,0
UNEJ - Pendidikan Geografi,415.0,0.0,17,0.0,3,0,0,97,743,3,4,4
UNEJ - Pendidikan Sejarah,521.0,0.0,16,0.0,2,0,0,92,326,1,1,1
UNEJ - Pendidikan Dasar (S2),54.0,0.0,6,0.0,6,0,0,44,1042,6,1,2
UNEJ - Pendidikan IPS (S2),51.0,0.0,5,0.0,5,0,0,75,130,0,0,0
UNEJ - Pendidikan IPA (S2),59.0,0.0,5,0.0,5,0,0,94,478,0,0,0
UNEJ - Pendidikan Matematika (S2),66.0,0.0,7,0.0,7,0,0,217,1012,24,5,11
UNEJ - Pendidikan Bahasa Inggris (S2),36.0,0.0,5,0.0,5,0,0,20,240,0,0,0
UNEJ - Pendidikan Biologi (S2),5.0,0.0,5,0.0,5,0,0,52,625,8,1,3
UNEJ - Agroteknologi,755.0,0.0,22,0.0,3,7,0,179,927,40,7,30
UNEJ - Agribisnis,701.0,0.0,25,0.0,3,7,2,85,490,1,1,1
UNEJ - Proteksi Tanaman,263.0,0.0,11,0.0,3,7,0,74,839,4,3,5
UNEJ - Ilmu Tanah,270.0,0.0,8,0.0,2,7,0,57,329,2,2,3
