Program Studi,FSR,IRN,CPP,PPF,Staff_PhD (%),IFR (%),PIS (%),Inbound (%),Outbound (%)
UNEJ - Pendidikan Dokter,0.07391304347826087,1.9235933878519513,5.927272727272728,3.235294117647059,19.607843137254903,0.0,0.0,0.14492753623188406,0.0
UNEJ - Ilmu Hukum,0.02759526938239159,2.6276699100244088,1.6,0.7142857142857143,19.047619047619047,0.0,0.0,0.3066141042487955,0.043802014892685065
UNEJ - Ilmu Hukum (S2),0.017857142857142856,0.0,1.8333333333333333,6.0,100.0,0.0,0.0,0.0,0.0
UNEJ - Kenotariatan (S2),0.02092050209205021,1.4426950408889634,2.257142857142857,7.0,100.0,0.0,0.0,0.0,0.0
UNEJ - Pendidikan Dokter Gigi,0.042432814710042434,3.728009607357671,4.833333333333333,5.6,46.666666666666664,0.0,0.0,0.14144271570014144,0.0
UNEJ - Rekayasa Perencanaan Mekanik (D4),0.0873015873015873,0.0,3.0,4.909090909090909,9.090909090909092,0.0,0.0,0.0,0.0
UNEJ - Teknologi Rekayasa Elektronika (D4),0.06722689075630252,0.0,2.3636363636363638,6.875,25.0,0.0,0.0,0.0,0.0
UNEJ - Teknik Rekayasa Konstruksi Bangunan Gedung (D4),0.05232558139534884,0.0,2.142857142857143,2.3333333333333335,11.11111111111111,0.0,0.0,0.0,0.0
UNEJ - Teknik Elektro,0.03770197486535009,1.698116359475543,3.4,5.714285714285714,9.523809523809524,0.0,0.0,0.17953321364452424,0.0
UNEJ - Teknik Mesin,0.0390625,3.1769666308311737,30.45390070921986,7.05,25.0,0.0,0.0,0.1953125,0.0
UNEJ - Teknik Sipil,0.03188405797101449,1.251097174272739,3.1785714285714284,2.5454545454545454,0.0,0.0,0.0,0.0,0.0
UNEJ - Perencanaan Wilayah dan Kota,0.043209876543209874,0.0,2.269230769230769,1.8571428571428572,7.142857142857142,0.0,0.0,0.0,0.0
UNEJ - Teknik Kimia,0.047619047619047616,2.551431911230408,18.663265306122447,7.538461538461538,15.384615384615385,0.0,0.0,0.0,0.0
UNEJ - Teknik Konstruksi Perkapalan,0.023715415019762844,0.0,3.1578947368421053,3.1666666666666665,0.0,0.0,0.0,0.0,0.0
UNEJ - Teknik Lingkungan,0.03690036900369004,0.9102392266268373,12.88888888888889,2.7,20.0,0.0,0.0,0.0,0.0
UNEJ - Teknik Perminyakan,0.04405286343612335,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
UNEJ - Teknik Pertambangan,0.03643724696356275,0.0,6.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0
UNEJ - Teknik Sipil (S2),0.0847457627118644,1.2426698691192237,8.107142857142858,16.8,100.0,0.0,1.694915254237288,0.0,0.0
UNEJ - Teknik Elektro (S2),0.2222222222222222,1.6097184175273787,10.06060606060606,27.5,100.0,0.0,0.0,0.0,0.0
UNEJ - Teknik Mesin (S2),0.21739130434782608,1.251097174272739,4.0256410256410255,15.6,100.0,0.0,0.0,0.0,0.0
UNEJ - Pendidikan Luar Sekolah,0.029213483146067417,0.0,3.65,1.5384615384615385,30.76923076923077,0.0,0.0,0.0,0.0
UNEJ - Pendidikan Guru Anak Usia Dini,0.02535211267605634,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
UNEJ - Pendidikan Bahasa dan Sastra Indonesia,0.024216524216524215,2.8853900817779268,1.45,1.1764705882352942,29.411764705882355,0.0,0.0,0.0,0.0
UNEJ - Pendidikan Bahasa Inggris,0.021628498727735368,2.8853900817779268,7.482758620689655,1.7058823529411764,17.647058823529413,0.0,0.0,0.0,0.0
UNEJ - Pendidikan Biologi,0.03304347826086956,3.0400613733227626,4.019607843137255,5.368421052631579,10.526315789473683,0.0,0.0,0.0,0.0
UNEJ - Pendidikan IPA,0.036395147313691506,1.0277966847395015,5.584615384615384,6.190476190476191,14.285714285714285,0.0,0.0,0.0,0.0
UNEJ - Pendidikan Fisika,0.03346456692913386,1.4426950408889634,4.731958762886598,5.705882352941177,11.76470588235294,0.0,0.0,0.0,0.0
UNEJ - Pendidikan Ekonomi,0.02457956015523933,0.0,1.9166666666666667,3.789473684210526,10.526315789473683,0.0,0.0,0.0,0.0
UNEJ - Pendidikan Matematika,0.02096177558569667,1.8640048036788355,6.8817733990147785,11.941176470588236,0.0,0.0,0.0,0.0,0.12330456226880394
