Program Studi,FSR,IRN,CPP,PPF,Staff_PhD (%),IFR (%),PIS (%),Inbound (%),Outbound (%)
UNEJ - Pendidikan Dokter,-0.19295127609179488,0.451346025238293,0.0510525786323969,-0.3272078578808691,-0.4749628217465232,-0.07669649888473706,-0.1891480179719353,0.05495021041385634,-0.28838074344726156
UNEJ - Ilmu Hukum,-0.39398343899791327,0.8456701852990859,-0.7903504530819332,-0.5997575131036713,-0.48997481423240324,-0.07669649888473706,-0.1891480179719353,0.4185247954472307,-0.24123439429882282
UNEJ - Ilmu Hukum (S2),-0.43624964622048307,-0.625979127747597,-0.7449806817640036,-0.028311735986529245,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Kenotariatan (S2),-0.42295380580558745,0.18201473699182033,-0.6625743624314376,0.079799627251849,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Dokter Gigi,-0.3295843203515523,1.4619249719147487,-0.16165505053348075,-0.07155628128188057,0.2501164153214814,-0.07669649888473706,-0.1891480179719353,0.04711411002355319,-0.28838074344726156
UNEJ - Rekayasa Perencanaan Mekanik (D4),-0.13484123139500728,-0.625979127747597,-0.5181318251743557,-0.14625140497385095,-0.7567788625041799,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Teknologi Rekayasa Elektronika (D4),-0.22197105887396834,-0.625979127747597,-0.6418675651323453,0.0662857068470517,-0.33047239406992807,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Teknik Rekayasa Konstruksi Bangunan Gedung (D4),-0.286646931353619,-0.625979127747597,-0.6847962912402195,-0.4247200678605828,-0.7026447077823702,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Teknik Elektro,-0.3501174954642522,0.3250656607784866,-0.4403550743436194,-0.059200696911780155,-0.7451786864923635,-0.07669649888473706,-0.1891480179719353,0.1327658568179751,-0.28838074344726156
UNEJ - Teknik Mesin,-0.3442124338362751,1.1533085757796324,4.820056161807568,0.08520519541376788,-0.33047239406992807,-0.07669649888473706,-0.1891480179719353,0.16824776208183626,-0.28838074344726156
UNEJ - Teknik Sipil,-0.375368890629648,0.07470869078285895,-0.4834100614106342,-0.4017873544463813,-1.0003825587523238,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Perencanaan Wilayah dan Kota,-0.3262116535064206,-0.625979127747597,-0.6602239661151241,-0.47620166940266767,-0.8089796545573537,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Teknik Kimia,-0.3070746112952791,0.8029724331479404,2.5274628821006524,0.13801343822636034,-0.5881301497170034,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Teknik Konstruksi Perkapalan,-0.41082309784390136,-0.625979127747597,-0.48743047616222296,-0.33462726516193425,-1.0003825587523238,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Teknik Lingkungan,-0.3535966902941718,-0.11619175778030703,1.4046822925855158,-0.3850792346731774,-0.4644544270064072,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Teknik Perminyakan,-0.322552853365612,-0.625979127747597,-1.1014574564048787,-0.6445465064452852,-1.0003825587523238,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Teknik Pertambangan,-0.35560677016596315,-0.625979127747597,0.06519380605616706,-0.4367324415537359,-1.0003825587523238,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Teknik Sipil (S2),-0.1459342287445163,0.06998890547318484,0.474910618468082,1.139290986987956,1.6792580999772595,-0.07669649888473706,5.214042557969728,-0.27093937640640003,-0.28838074344726156
UNEJ - Teknik Elektro (S2),0.45075226026591664,0.2755576270462177,0.854745670550006,2.296082573638603,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Teknik Mesin (S2),0.42978471836501364,0.07470869078285895,-0.3187042589416984,1.0095573511019016,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Luar Sekolah,-0.3869599362647534,-0.625979127747597,-0.39174460507440917,-0.5106547412039091,-0.17587774068168285,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Guru Anak Usia Dini,-0.40371936981960066,-0.625979127747597,-0.7125737022511967,-0.6409427943373392,-1.0003825587523238,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Bahasa dan Sastra Indonesia,-0.4086481430313368,0.9900086017312377,-0.8195167346434592,-0.5497900763128243,-0.21225295324362287,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Bahasa Inggris,-0.41988090133683137,0.9900086017312377,0.35350417551493113,-0.49255464871603577,-0.5275047954471033,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Biologi,-0.37033668057343133,1.0766335994456144,-0.3198773622724787,-0.0965925969791892,-0.7183151209913151,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan IPA,-0.3557894944837095,-0.050352684228861654,-0.015574358268059226,-0.0077190953696952705,-0.6175767503623835,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Fisika,-0.3685090373541951,0.18201473699182033,-0.18136651229900236,-0.06010919576252283,-0.6851307165488435,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Ekonomi,-0.4070724649812325,-0.625979127747597,-0.7287771920076,-0.26729474946083903,-0.7183151209913151,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Matematika,-0.4227746672381499,0.41797292208357606,0.23664748091702684,0.6139969514885415,-1.0003825587523238,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.1556617359184259
UNEJ - Pendidikan Guru Sekolah Dasar,-0.4155735797878373,-0.625979127747597,-0.8406207920335065,-0.524132815665988,-0.9079811567271657,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.20442199531474536
UNEJ - Pendidikan Geografi,-0.3359600166954212,0.9900086017312377,0.38792723089504744,-0.06010919576252283,-0.5275047954471033,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Sejarah,-0.380463882577161,-0.625979127747597,-0.4124568919804204,-0.0553395767961238,-0.665427476411126,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Dasar (S2),-0.03150120345484424,0.18201473699182033,3.5032797234603095,0.11583674833130837,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan IPS (S2),-0.08823690506905144,-0.625979127747597,-0.7644248694716876,0.944690533158875,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan IPA (S2),-0.1459342287445163,-0.625979127747597,-0.11269982616307045,1.3555137134647124,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Matematika (S2),-0.05342181544215181,0.5418339031364962,-0.19465939372394298,2.674472344972927,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Bahasa Inggris (S2),0.08906216247534604,-0.625979127747597,1.2318450685172126,-0.24453446246328572,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Pendidikan Biologi (S2),3.826526506311243,-0.11619175778030703,1.2355843353840752,0.447378262262335,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Agroteknologi,-0.38728289788194875,0.5266769062462705,-0.0944875119901772,0.20265344911364247,-0.634977014380108,-0.07669649888473706,-0.1891480179719353,1.8138906955695457,-0.28838074344726156
UNEJ - Agribisnis,-0.3589657522866308,-0.625979127747597,0.019442776155733896,-0.30940128040631265,-0.6788256797047739,-0.07669649888473706,-0.1891480179719353,1.9744910149514296,0.018709456569530852
UNEJ - Proteksi Tanaman,-0.33222199452026174,0.41797292208357606,1.103093014777143,0.050314710005018685,-0.26957147000789217,-0.07669649888473706,-0.1891480179719353,5.71402908116713,-0.28838074344726156
UNEJ - Ilmu Tanah,-0.38515374351673565,0.39359561218698297,0.02084741303864189,0.09331354765664628,-0.33047239406992807,-0.07669649888473706,-0.1891480179719353,5.558863232267077,-0.28838074344726156
UNEJ - Agronomi,-0.3913364802311043,-0.27799511113720604,-0.4583035553045586,-0.03814004173547271,-0.26957147000789217,-0.07669649888473706,-0.1891480179719353,3.7650778142136994,-0.28838074344726156
UNEJ - Penyuluhan Pertanian,-0.34968905580668674,0.41797292208357606,1.4962860213417164,-0.1855646279696248,-0.02596777375974806,-0.07669649888473706,-0.1891480179719353,5.138155827517445,-0.28838074344726156
UNEJ - Agronomi (S2),0.3999887377689941,-0.05535225463194691,0.6923126528445366,0.8230652495156994,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,2.5441222856549945
UNEJ - Agribisnis (S2),-0.16373199189440807,-0.313404432944867,0.37262217927225333,0.9230682605111994,1.6792580999772595,-0.07669649888473706,4.952597852682229,-0.27093937640640003,-0.28838074344726156
UNEJ - Pertanian/Perkebunan,-0.36562220391666833,-0.625979127747597,-0.11746371483419868,-0.4985961660734746,-1.0003825587523238,-0.07669649888473706,0.8988664666033487,2.4151471497742123,-0.28838074344726156
UNEJ - Peternakan,-0.3540787711610391,-0.13951834854953668,0.23566339691805502,0.04048640425607512,0.21763592248839575,-0.07669649888473706,-0.1891480179719353,4.993430872228512,1.1515539067987015
UNEJ - Kesehatan Masyarakat,-0.3590515758434008,9.092892212194817,-0.33719285622785106,-0.24453446246328572,-0.7026447077823702,-0.07669649888473706,0.12648390676129057,-0.27093937640640003,-0.28838074344726156
UNEJ - Administrasi Kesehatan (S2),1.4894520282798631,-0.625979127747597,-0.6698913389904267,0.061781066712119255,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Gizi,-0.36536898603075596,-0.625979127747597,-0.7320178899588808,-0.4967943100195016,-1.0003825587523238,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Sistem Informasi,-0.39114785436524246,-0.625979127747597,-0.5004552908946429,-0.4391349162923665,-0.8217398481703516,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Informatika,-0.36827038203079454,0.8235219456404457,0.5135427944615042,0.5602945749779745,-0.5537757822973934,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Teknologi Informasi,-0.3858642458573923,0.5860116693615292,0.35599625938347784,0.08655658745424763,-0.665427476411126,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Kimia,-0.3781208805041411,0.9900086017312377,0.979648178447251,0.050969930388281466,-0.285811716424435,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.06414092030999961
UNEJ - Matematika,-0.3863669597776684,1.1208270386186239,-0.369440977997948,-0.15186757968753298,-0.6175767503623835,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.0627306069569351
UNEJ - Fisika,-0.36166934303725223,0.31174495666059343,0.5105708082794717,0.5538263737585842,0.23637466835363763,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Biologi,-0.34567999758727613,1.153106105582694,0.34218176302411957,-0.0028737681657343586,-0.05462703214188266,13.0384048104053,-0.1891480179719353,-0.27093937640640003,0.9375317292849223
UNEJ - Kimia (S2),5.9966670930546675,0.7334538588318433,1.6560818912303201,1.1068575780164422,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Matematika (S2),2.5864461710292863,0.6148959543153059,-0.19525785954860508,2.252838028343252,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Fisika (S2),1.656385919567819,1.2135825135607565,0.8765685523768122,1.5122751901603606,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Biologi (S2),0.42978471836501364,-0.625979127747597,-0.10591504577145294,0.4041337169669837,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,4.391406869852118
UNEJ - Farmasi,-0.3353869477172415,0.9027481692136333,0.8473804479334588,0.2039274887477648,-0.20641495616578087,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Farmasi (S2),0.7883296848704492,0.451346025238293,0.6269147842781521,0.6203564434437402,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,5.093375011847026
UNEJ - Ilmu Keperawatan,-0.3166876371501782,-0.625979127747597,0.30931061523293085,-0.31572975044953483,-0.8696683802777101,-0.07669649888473706,-0.1891480179719353,0.47611648706860643,-0.28838074344726156
UNEJ - Ilmu Keperawatan (S2),-0.007388530268806459,0.9492778079101738,-0.04688033142562327,1.5470252712012682,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Sastra Inggris,-0.3315895814270697,-0.625979127747597,-0.082582020522232,-0.5594675640707354,-0.18483974957375496,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.09196629982338246
UNEJ - Sastra Indonesia,-0.4029026922142515,-0.625979127747597,-1.0597913398884127,-0.560552293467776,-0.17587774068168285,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Sejarah,-0.3832198950406624,-0.625979127747597,-0.7548436755287709,-0.52156983076163,-0.1629948528993291,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Film dan Televisi,-0.39484285420336274,-0.625979127747597,-1.045902634382924,-0.6229242337976095,-0.4261738461674132,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
UNEJ - Ilmu Linguistik (S2),0.47267287225322374,-0.625979127747597,-0.46952135590514554,-0.5040017342353934,1.6792580999772595,-0.07669649888473706,-0.1891480179719353,-0.27093937640640003,-0.28838074344726156
