K,WCSS,Silhouette,Cluster_Terkecil,Distribusi_Ukuran,Flag
1,1539.0,,171,[171],
2,1307.1687,0.3381,46,"[125, 46]",
3,1134.9922,0.3386,1,"[127, 43, 1]",⚠️n≤2
4,1008.1683,0.367,1,"[131, 35, 4, 1]",⚠️n≤2
5,857.2455,0.3876,1,"[112, 38, 11, 9, 1]",⚠️n≤2
6,742.0603,0.3915,1,"[106, 28, 16, 11, 9, 1]",⚠️n≤2
7,613.2301,0.4257,1,"[108, 31, 11, 9, 8, 3, 1]",⚠️n≤2
8,516.3955,0.4079,1,"[103, 25, 11, 10, 9, 9, 3, 1]",Elbow ⚠️n≤2
9,435.6887,0.4453,1,"[104, 28, 11, 9, 8, 6, 3, 1, 1]",SilMax ⚠️n≤2
10,370.1159,0.3708,1,"[71, 36, 27, 11, 9, 9, 3, 3, 1, 1]",⚠️n≤2
11,311.5982,0.3681,1,"[70, 41, 26, 9, 9, 5, 5, 3, 1, 1, 1]",⚠️n≤2
12,279.397,0.3727,1,"[65, 36, 21, 11, 9, 9, 8, 6, 3, 1, 1, 1]",⚠️n≤2
13,258.3913,0.382,1,"[64, 35, 19, 11, 9, 9, 8, 7, 4, 2, 1, 1, 1]",⚠️n≤2
14,238.3275,0.3946,1,"[65, 34, 23, 9, 8, 7, 6, 6, 5, 4, 1, 1, 1, 1]",⚠️n≤2
15,219.1949,0.3905,1,"[66, 36, 22, 8, 6, 5, 5, 5, 5, 4, 4, 2, 1, 1, 1]",⚠️n≤2
