Nama,Program Studi
SITI AISYAH,Unknown
SILVIA OKTAVIA NUR YUDIASTUTI,Teknologi Rekayasa Pangan (D4)
AULIA BRILLIANTINA,Teknologi Industri Pangan (D3)
ORYZA ARDHIARISCA,Akuntansi Sektor Publik (D4)
HARIADI SUBAGJA,Manajemen Bisnis Unggas (D4)
TITIK BUDIATI,Teknologi Rekayasa Pangan (D4)
RISSE ENTIKARIA RACHMANITA,Teknik Energi Terbarukan (D4)
YOSSI WIBISONO,Teknologi Rekayasa Pangan (D4)
PRAWIDYA DESTARIANTO,Teknik Informatika (D4)
FINDI CITRA KUSUMASARI,Teknologi Industri Pangan (D3)
RIZKI AMALIA NURFITRIANI,Produksi Ternak (D3)
DADIK PANTAYA,Produksi Ternak (D3)
RADEN RARA MERRY MUSPITA DYAH UTAMI,Manajemen Bisnis Unggas (D4)
REFA FIRGIYANTO,Produksi Tanaman Hortikultura (D3)
ROSA TRI HERTAMAWATI,Manajemen Bisnis Unggas (D4)
AGUS HADI PRAYITNO,Manajemen Bisnis Unggas (D4)
DHANANG EKA PUTRA,Manajemen Agroindustri (D4)
DENNY TRIAS UTOMO,Teknik Informatika (D4)
ANDIK IRAWAN,Mesin Otomotif (D4)
GALLYNDRA FATKHU DINATA,Produksi Tanaman Hortikultura (D3)
ANNA MARDIANA HANDAYANI,Teknologi Industri Pangan (D3)
NISWATIN HASANAH,Produksi Ternak (D3)
AHMAD HARIS HASANUDDIN SLAMET,Manajemen Agribisnis (D4)
HARIYONO RAKHMAD,Teknik Komputer (D3)
BUDI HARIONO,Teknologi Rekayasa Pangan (D4)
ERVINA RACHMAWATI,Manajemen Informasi Kesehatan (D4)
ZILVANHISNA EMKA FITRI,Teknologi Rekayasa Komputer (D4)
AAN AWALUDIN,Produksi Ternak (D3)
M ADHYATMA,Produksi Ternak (D3)
FANDYKA YUFRIZA ALI,Pengelolaan Perkebunan Kopi (D4)
MUKSIN,Agribisnis (S2)
AGUS SANTOSO,Unknown
TRISMAYANTI DWI PUSPITASARI,Teknik Informatika (D4)
SETYO ANDI NUGROHO,Pengelolaan Perkebunan Kopi (D4)
NANANG DWI WAHYONO,Agribisnis (S2)
ADIB NORMA RESPATI,Teknologi Pakan Ternak (D4)
NIATI NINGSIH,Teknologi Pakan Ternak (D4)
BAGUS PUTU YUDHIA K,Agribisnis (S2)
HUDA AHMAD HUDORI,Manajemen Agribisnis (D3)
BAYU RUDIYANTO,Teknik Energi Terbarukan (D4)
IQBAL ERDIANSYAH,Teknologi Produksi Tanaman Pangan (D4)
KURNIAWAN ERMAN WICAKSONO,Manajemen Informasi Kesehatan (Kampus Kab. Ngawi) (D4)
AGUNG MULIAWAN,Manajemen Informatika (D3)
SABRAN,Manajemen Informasi Kesehatan (D4)
