Nama,Program Studi
DAFIK,Pendidikan Matematika (S3)
TANTUT SUSANTO,Keperawatan (S2)
ARIKA INDAH KRISTIANA,Pendidikan Matematika (S2)
MOCHAMAD ASROFI,Teknik Mesin (S1)
MAHROS DARSIN,Teknik Mesin (S2)
RONDHIANTO,Keperawatan (S2)
ENTIN HIDAYAH,Teknik Sipil (S3)
NURCHOLIF DIAH SRI LESTARI,Pendidikan Matematika (S2)
ANDI SANATA,Teknik Mesin (S1)
RONAL SURYA ADITYA,Keperawatan (Kampus Kota Pasuruan) (D3)
SRI WAHYUNI,Pendidikan  IPA (S1)
IKA HESTI AGUSTIN,Matematika (S2)
ARI SATIA NUGRAHA,Farmasi (S1)
BAIQ DEWI SUKMA SEPTIANI,Gizi (S1)
SUHARTININGSIH DWI NURCAHYANTI,Proteksi Tanaman (S1)
DODI WIJAYA,Keperawatan (S2)
AHMAD ZAINUDDIN,Agribisnis (S1)
ANKARDIANSYAH PANDU PRADANA,Proteksi Tanaman (S1)
LISTYA PURNAMASARI,Peternakan (S1)
RISMAWAN ADI YUNANTO,Ilmu Keperawatan (S1)
BASUKI,Ilmu Tanah (S1)
ERLIA NARULITA,Bioteknologi (S3)
RATNA DEWI SYARIFAH,Fisika (S1)
RIDHO ALFARISI,Pendidikan Matematika (S2)
WILLY KRISWARDHANA,Teknik Sipil (S2)
DIAN KURNIATI,Pendidikan Matematika (S3)
ISTIQOMAH RAHMAWATI,Teknik Kimia (S1)
FAHRUDDIN KURDI,Ilmu Keperawatan (S1)
I KETUT MAHARDIKA,Pendidikan Ilmu Pengetahuan Alam (S2)
DEWI ROKHMAH,Administrasi Kesehatan (S2)
ZAINUR RASYID RIDLO,Pendidikan  IPA (S1)
DESSY RACHMAWATI,Pendidikan Dokter Gigi (S1)
AGUS WEDI PRATAMA,Agroteknologi (S1)
RIFATI DINA HANDAYANI,Pendidikan Fisika (S1)
ARIF MOHAMMAD SIDDIQ,Biologi (S1)
AHMAD ILHAM TANZIL,Agroteknologi (S1)
KHAIRUL ANAM,Teknik Elektro (S2)
BAGUS HERMANSYAH,Pendidikan Dokter (S1)
NURFIKA ASMANINGRUM,Keperawatan (S2)
HIMMATUL KHASANAH,Peternakan (S1)
INDARTO,Teknik Pertanian (S1)
SUDARTI,Pendidikan Ilmu Pengetahuan Alam (S3)
MOHAMMAD UBAIDILLAH,Agroteknologi (S1)
JONI MURTI MULYO AJI,Agribisnis (S2)
ENNY SUSWATI,Pendidikan Dokter (S1)
ANDREW SETIAWAN RUSDIANTO,Teknologi Industri Pertanian (S1)
RAFIANTIKA MEGAHNIA PRIHANDINI,Pendidikan Matematika (S1)
FITRIO DEVIANTONY,Ilmu Keperawatan (S1)
DYAH OCHTORINA SUSANTI,Kenotariatan (S2)
SLAMIN,Informatika (S1)
BEA HANA SISWATI,Pendidikan Biologi (S2)
SRI ASTUTIK,Pendidikan Geografi (S1)
DESI SANDRA SARI,Dokter Gigi (Profesi)
NANANG TRI HARYADI,Agroteknologi (S1)
R.ENDRO SULISTYONO,Keperawatan (D3)
VEGA KARTIKA SARI,Agronomi (S1)
KRISH NAUFAL ANUGRAH ROBBY,Administrasi Kesehatan (S2)
BAMBANG KUSWANDI,Bioteknologi (S3)
ARIF FATAHILLAH,Pendidikan Matematika (S1)
BOY ARIEF FACHRI,Teknik Kimia (S1)
MOHAMMAD HOESAIN,Ilmu Pertanian (S3)
PRAMUDYA DWI ARISTYA PUTRA,Pendidikan  IPA (S1)
ALFID TRI AFANDI,Ners (Profesi)
ARNIS BUDI SUSANTO,Manajemen (S1)
NURHAYATI,Teknologi Hasil Pertanian (S1)
PARAWITA DEWANTI,Agronomi (S2)
WIWIEN SUGIH UTAMI,Ilmu Kesehatan Masyarakat (S2)
BANUN KUSUMAWARDANI,Pendidikan Dokter Gigi (S1)
WAHYU INDRA DUWI FANATA,Bioteknologi (S2)
BAMBANG PILUHARTO,Kimia (S2)
MUHAMAD ZULFATUL A'LA,Keperawatan (S2)
AGUNG SIH KURNIANTO,Agroteknologi (S1)
SAIFUL BUKHORI,Teknologi Informasi (S1)
DANI HARI TUNGGAL PRASETIYO,Rekayasa Perancangan Mekanik (D4)
ROBIATUL ADAWIYAH,Pendidikan Matematika (S1)
BEVO WAHONO,Pendidikan Biologi (S2)
RIZEKI DWI FIBRIANSARI,Keperawatan (D3)
FUAD BAHRUL ULUM,Biologi (S1)
Supangat,Bedah (Sp-1)
DINI AGUSTINA,Pendidikan Dokter (S1)
R.A. HELDA PUSPITASARI,Keperawatan (Kampus Kota Pasuruan) (D3)
RISTYA WIDI ENDAH YANI,Ilmu Kesehatan Masyarakat (S2)
SINGGIH BEKTIARSO,Pendidikan Dasar (S2)
MUKHAMAD ZULIANTO,Pendidikan Ekonomi (S1)
IDA ZUHROIDAH,Keperawatan (Kampus Kota Pasuruan) (D3)
BAMBANG SUPRIADI,Pendidikan Fisika (S1)
DICKY ENDRIAN KURNIAWAN,Ners (Profesi)
YULI WIBOWO,Teknologi Industri Pertanian (S1)
ERIK KUSUMA,Keperawatan (Kampus Kota Pasuruan) (D3)
FIFTEEN APRILA FAJRIN,Farmasi (S1)
BAMBANG SUGIHARTO,Bioteknologi (S3)
HARI SULISTIYOWATI,Biologi (S2)
SRI WAHYU LELLY HANA S,Manajemen (S2)
RIZKI FITRIA DARMAYANTI,Unknown
CAHYOADI BOWO,Ilmu Pertanian (S3)
ALI WAFA,Proteksi Tanaman (S1)
YULI HARIYATI,Ilmu Pertanian (S3)
DIANA CHUSNA MUFIDA,Pendidikan Dokter (S1)
NOVI PUSPITASARI,Manajemen (S1)
NASRUL ILMINNAFIK,Teknik Mesin (S2)
HANNY RASNY,Ilmu Keperawatan (S1)
KHOLID ROSYIDI MUHAMMAD NUR,Ilmu Keperawatan (S1)
WIDJONARKO,Teknik Elektro (S1)
SUPENO,Pendidikan  IPA (S1)
IKA ADELIA SUSANTI,Ners (Profesi)
RAHMADI INDRA TEKTONA,Ilmu Hukum (S1)
MOCHAMMAD AMRUN HIDAYAT,Farmasi (S2)
IHSANNUDIN,Penyuluhan Pertanian (S1)
RUSDHIANTI WURYANINGRUM,Pendidikan Bahasa Dan Sastra Indonesia (S1)
BAYU DWI ANGGONO,Kenotariatan (S2)
ISTI FADAH,Ilmu Ekonomi (S3)
LILIS YULIATI,Ilmu Ekonomi (S2)
ENGGAL HADI KURNIYAWAN,Ilmu Keperawatan (S1)
NIKEN ASIH LARAS ATI,Ilmu Keperawatan (S1)
DIDIK SUGENG PAMBUDI,Pendidikan Matematika (S2)
GUSFAN HALIK,Teknik Sipil (S3)
ERFAN YUDIANTO,Pendidikan Matematika (S3)
JOJOK WIDODO SOETJIPTO,Teknik Sipil (S3)
ADISTHA EKA NOVEYANI,Kesehatan Masyarakat (S1)
ARTOTO ARKUNDATO,Fisika (S2)
HONEST DODY MOLASY,Ilmu Hubungan Internasional (S1)
SUDARYANTO,Manajemen (S1)
NILASARI DEWI,Agroteknologi (S1)
ILLIA SELDON MAGFIROH,Agribisnis (S1)
SUHARI,Keperawatan (D3)
DIDIK PUDJI RESTANTO,Agronomi (S1)
DESY CAHYA WIDIANINGRUM,Peternakan (S1)
"DRS. SUPRANOTO, M.SI.",Ilmu Administrasi (S3)
JOKO WALUYO,Pendidikan Ilmu Pengetahuan Alam (S3)
AMIYATUN NAINI,Dokter Gigi (Profesi)
AGUSTIN WULAN SUCI D.,Pendidikan Dokter Gigi (S1)
DOMINIKUS RATO,Ilmu Hukum (S2)
TRI MULYONO,Kimia (S1)
MUHAMMAD HILMI AFTHONI,Farmasi (S1)
MOKH. SUJARWADI,Keperawatan (Kampus Kota Pasuruan) (D3)
ANCAH CAESARINA NOVI M,Pendidikan Dokter (S1)
WAHYU MULDAYANI,Teknologi Rekayasa Elektronika (D4)
TRI AGUS SISWOYO,Bioteknologi (S3)
WAGIYANA,Proteksi Tanaman (S1)
FIRDHA YUSMAR,Pendidikan  IPA (S1)
RENDY SETIAWAN,Biologi (S1)
MARGA MANDALA,Ilmu Pertanian (S3)
LAILATUL NURAINI,Pendidikan Fisika (S1)
IRA RAHMAWATI,Ners (Profesi)
DINA SURYAWATI,Ilmu Administrasi Negara (S1)
CHUMI ZAHROUL FITRIYAH,Pendidikan Guru Sekolah Dasar (S1)
SRI HARTATIK,Agronomi (S2)
PURNAMIE TITISARI,Ilmu Manajemen (S3)
KURNIA ARDIANSYAH AKBAR,Kesehatan Masyarakat (S1)
Retno Utami Agung Wiyono,Teknik Sipil (S2)
IDA BAGUS SURYANINGRAT,Teknologi Agroindustri (S2)
MOH. ADENAN,Ilmu Ekonomi (S3)
BEKTI PALUPI,Teknik Kimia (S1)
FARIDA WAHYU NINGTYIAS,Kesehatan Masyarakat (S3)
NAWIYANTO,Ilmu Sejarah (S1)
RURIS HARISTIANI,Ilmu Keperawatan (S1)
BAYU APRILLIANTO,Akuntansi (S1)
AYU DEWI NASTITI,Keperawatan (Kampus Kota Pasuruan) (D3)
