Nama,Program Studi
AMRI GUNASTI,Teknik Sipil (S1)
MUHTAR,Teknik Sipil (S1)
ASROFUL ABIDIN,Teknik Mesin (S1)
BAGUS SETYA RINTYARNA,Teknik Elektro (S1)
NURUL QOMARIAH,Manajemen (S2)
NIKMATUR ROHMAH,Profesi Ners (Profesi)
NELY ANA MUFARIDA,Teknik Mesin (S1)
BUDI SANTOSO,Manajemen (S2)
SYAMSUL HADI,Agribisnis (S1)
EKO BUDI SATOTO,Manajemen (S1)
FATQURHOHMAN,Pendidikan Matematika (S1)
RIYANTO SETIAWAN SUHARSONO,Akuntansi (S1)
ABADI SANOSRA,Manajemen (S2)
NURSAID,Manajemen (S2)
NANANG SAIFUL RIZAL,Teknik Sipil (S1)
DANU INDRA WARDHANA,Teknologi Industri Pertanian (S1)
DIYAH PROBOWULAN,Akuntansi (S1)
DWI CAHYONO,Manajemen (S2)
FITRI AMILIA,Pendidikan Profesi Guru (Profesi)
SENKI DESTA GALUH,Teknik Sipil (S1)
AWATIFUL AZZA,Profesi Ners (Profesi)
TRIAWAN ADI CAHYANTO,Teknik Informatika (S1)
WAHYUDI WIDADA,Keperawatan (D3)
HAIRUL HUDA,Pendidikan Agama Islam (S1)
MIFTAHUR RAHMAN,Teknik Informatika (S1)
JUARIYAH,Ilmu Komunikasi (S1)
ZAINUL ARIFIN,Teknik Informatika (S1)
ALI USMAN,Pendidikan Biologi (S1)
ILHAM SAIFUDIN,Teknik Informatika (S1)
AGUS MILU SUSETYO,Pendidikan Bahasa Dan Sastra Indonesia (S1)
FITRIANA DINA RIZKINA,Teknologi Industri Pertanian (S1)
SETIYO FERDI YANUAR,Unknown
ACHMAD HASAN HAFIDZI,Manajemen (S1)
CHRISTINE WULANDARI SURYANINGRUM,Pendidikan Profesi Guru (Profesi)
AGUNG NILOGIRI,Teknik Informatika (S1)
KOSJOKO,Teknik Mesin (S1)
ANDIKA PUTRA SETIAWAN,Teknologi Industri Pertanian (S1)
ANISA NURINA AULIA,Agribisnis (S1)
SITI NURSYAMSIYAH,Pendidikan Agama Islam (S1)
INDAH WERDININGSIH,Pendidikan Profesi Guru (Profesi)
WAHYU EKO WIDIYANTO,Pendidikan Jasmani (S1)
FETI FATIMAH,Manajemen (S1)
RIA ANGIN,Ilmu Pemerintahan (S1)
AULYA NANDA PRAFITASARI,Pendidikan Guru Sekolah Dasar (S1)
LADY AGUSTINA,Pendidikan Matematika (S1)
FAUZIYAH,Ilmu Hukum (S1)
ABDUL JALIL,Agroteknologi (S1)
HASAN SUAEDI,Pendidikan Bahasa Dan Sastra Indonesia (S1)
HARDIAN OKTAVIANTO,Teknik Informatika (S1)
HILFI HARISAN AHMAD,Teknik Sipil (S1)
DIYAN INDRIYANI,Profesi Ners (Profesi)
TOPO YONO,Pendidikan Jasmani (S1)
RESTI UTAMI,Keperawatan (D3)
NORITA CITRA YULIARTI,Akuntansi (S1)
BAYU WIJAYANTINI,Manajemen (S1)
MUHAMMAD AAN AULIQ,Teknik Elektro (S1)
RETNO ENDAH SUPENI,Manajemen (S1)
ISKANDAR UMARIE,Agroteknologi (S1)
DENI ARIFIANTO,Sistem Informasi (S1)
AHMAD SULAIMAN,Pendidikan Jasmani (S1)
FITRIANA,Teknik Elektro (S1)
YUNI SUSANTI,Teknik Kimia (S1)
EKA NOVA ALI VARDANI,Pendidikan Bahasa Dan Sastra Indonesia (S1)
MUHLISIN RASUKI,Pendidikan Bahasa Inggris (S1)
WIWIK SUHARSO,Sistem Informasi (S1)
MUHAMMAD ZAINUR RIDLO,Teknik Mesin (S1)
BADRUT TAMAMI,Pendidikan Agama Islam (S1)
KHOIRIYAH,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
NI NYOMAN PUTU MARTINI,Manajemen (S2)
YOHANES GUNAWAN WIBOWO,Akuntansi (S1)
SUSI WAHYUNING ASIH,Ilmu Keperawatan (S1)
RUSDIANA SETYANINGTYAS,Teknik Lingkungan (S1)
ARIK SUSBIYANI,Akuntansi (S1)
MOH HALIM,Akuntansi (S1)
TANZIL HUDA,Pendidikan Bahasa Inggris (S1)
HIMAWAN GANJAR PRABOWO,Unknown
MOHAMMAD THAMRIN,Unknown
TRI ENDANG JATMIKOWATI,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
PAWESTRI WINAHYU,Manajemen (S1)
ARA NUGRAHAYU NALAWATI,Teknologi Industri Pertanian (S1)
ARA NUGRAHAYU NALAWATI,Teknologi Industri Pertanian (S1)
TRIAS SETYOWATI,Manajemen (S1)
TONI HERLAMBANG,Manajemen (S2)
SOFYAN ROFI,Pendidikan Agama Islam (S1)
MAHENI IKA SARI,Manajemen (S1)
NUR KAMILAH,Pendidikan Bahasa Inggris (S1)
KUKUH MUNANDAR,Pendidikan Biologi (S1)
IBNA KAMELIA FIEL AFROH,Akuntansi (S1)
SOFIA ARIYANI,Teknik Elektro (S1)
ISTIQOMAH,Psikologi (S1)
ARI EKO WARDOYO,Teknik Informatika (S1)
GINANJAR ABDURRAHMAN,Teknik Informatika (S1)
INDRI ASTUTIK,Pendidikan Bahasa Inggris (S1)
ARIEF ALIHUDIEN,Teknik Lingkungan (S1)
RENDY MIRWAN ASPIRANDI,Akuntansi (S1)
DWI YUNITA HARYANTI,Keperawatan (D3)
EMY KHOLIFAH R,Ilmu Pemerintahan (S1)
BAHAR AGUS SETIAWAN,Pendidikan Agama Islam (S1)
ULYA ANISATUR ROSYIDAH,Sistem Informasi (S1)
